"","x"
"119","RT @topbargain: David Jones Clearance - from $0.01..@davidjonesstore #davidjones #sleeve #pants: a Few‚Ä¶ https://t.co/fWL2RN3EI8 https://t.c‚Ä¶"
"120","David Jones Clearance - from $0.01..@davidjonesstore #davidjones #sleeve #pants: a Few‚Ä¶ https://t.co/fWL2RN3EI8 https://t.co/imORlNbEWb"
"121","David Jones: David Jones https://t.co/pktLzZuMKy | Introducing the ultimate children‚Äôs wardrobe packed with brigh‚Ä¶ https://t.co/CUvE4xugpO"
"122","RT https://t.co/RydMLxBjju Explore a world of beauty at #DavidJones and begin a beautiful career now #clinique #c‚Ä¶ https://t.co/Lo4mchjb6h"
"123","Explore a world of beauty at #DavidJones and begin a beautiful career now #clinique #career #glenwaverley #beauty https://t.co/EQZ6p05qWw"
"124","RT @PallantGallery: .@angielewin's Nature Study, Late Summer inspired by #DavidJones - buy now @PallantBookshop https://t.co/qqbtf875vr htt‚Ä¶"
"125","@DavidJones sales exceed expectations https://t.co/Da67YrWnEv https://t.co/8WxxiBDSQV"
"126","RT @ltsEustace: ""You stupid dog""

Courage: https://t.co/DUzA1Jv0Vw"
"127","Winter is set to be all about dressing for comfort. #DavidJones #SydneyFashion #AusFashion https://t.co/fdUL2SFift"
"128","@saskiaellery why you getting mitsy , tig and jacks involved?there's no need"
"129","@saskiaellery yeah reallyÌ†ΩÌ∏â"
"130","Should there be more Chinese-focused #advertising in Australia? https://t.co/BuXgz4pDbm #marketing #melbourne #davidjones #branding"
"131","David Jones: A\W 2016 Trends: Burgundy Wine https://t.co/eLPXeCTJhv | A\W 2016 Trends: The burgundy trend suggest‚Ä¶ https://t.co/rxbfZKXumC"
"132","RT @LilDwash: Ì†ΩÌ∞ê https://t.co/3dPnem9uN3"
"133","@saskiaellery Atleast my cats aren't cunts"
"134","RT @PallantGallery: .@angielewin's Nature Study, Late Summer inspired by #DavidJones - buy now @PallantBookshop https://t.co/qqbtf875vr htt‚Ä¶"
"135",".@angielewin's Nature Study, Late Summer inspired by #DavidJones - buy now @PallantBookshop https://t.co/qqbtf875vr https://t.co/TBlsIBasVO"
"136","@saskiaellery tehehe"
"137","Why is Sask playing games with my 6 year old brother?Cute but tragic"
"138","RT @marce_slow: @SlowFashionNext claro! Todo se regula con la escala de producci√≥n, por lo que se #DavidJones es de una escala menor al del‚Ä¶"
"139","Mark DavidJones at the Conference ofChampionsDay2#tccchangeagents https://t.co/H6VjSPVv3I"
"140","@SlowFashionNext claro! Todo se regula con la escala de producci√≥n, por lo que se #DavidJones es de una escala menor al del com√∫n del retail"
"141","RT @iownjd: Ah, the bouquet toss, Ì†ΩÌ∏©Ì†ΩÌ∏ÇÌ†ΩÌ∏≠, ladies is catching that wedding bouquet that serious? https://t.co/efZS18EOW5"
"142","RT @bricegunnar: when both yo grandmas find out you hungry https://t.co/LTM2dfk4Vs"
"143","RT @SportsCenter: Kobe vs. LeBron for the last time in Cleveland, tonight on ESPN. https://t.co/hXraJ9fbzG"
"144","RT @SlowFashionNext: La cadena de grandes almacenes #DavidJones quiere tener todos sus productos #sostenibles https://t.co/BhIEKo1ELu https‚Ä¶"
"145","La cadena de grandes almacenes #DavidJones quiere tener todos sus productos #sostenibles https://t.co/BhIEKo1ELu https://t.co/SiLkevh2dW"
"146","RT @SteveStfler: The media is so wack https://t.co/7X7YeS2Zfa"
"147","RT @Mi_Adri_Ana: Ì†ΩÌ∏ç#DavidJones CM3075 - –ø—Ä–∏–≤–ª–µ–∫–∞—Ç–µ–ª—å–Ω—ã–π –Ω–µ–±–æ–ª—å—à–æ–π –∂–µ–Ω—Å–∫–∏–π —Ä—é–∫–∑–∞—á–µ–∫ –∏–∑ –ø—Ä–æ—á–Ω–æ–π, –∏–∑–Ω–æ—Å–æ—Å—Ç–æ–π–∫–æ–π —ç–∫–æ-–∫–æ–∂–∏, –≤ –∫–æ—Ç–æ—Ä–æ–º –í—ã –±‚Ä¶ https‚Ä¶"
